,Municipio,Provincia,Comunidad Autónoma,Habitantes (2022),Carril Bici,Precios alquiler,Distancia a Madrid (km),Tiempo medio de viaje a Madrid en coche,Tiempo medio de viaje a Madrid en tren o autobús,Distancia a Barcelona (km),Tiempo medio de viaje a Barcelona en coche,Tiempo medio de viaje a Barcelona en tren o autobús,Aeropuerto Internacional más cercano,Número deconexiones delaeropuerto internacionalmás cercano,Distancia al aeropuerto internacional más cercano (km),Temperatura máxima media (ºC),Temperatura mínima media (ºC),Número de visitantes internacionales al año,Precio medio vivienda (EUR/m2),Patrimonio de la Humanidad,Ponderación calidad del aire,Horas de Sol mediasanuales
43,Las Palmas de Gran Canaria,Las Palmas,Las Palmas,378797.0,6.6,11.1,1928.0,2220,,2546.0,,,Gran Canaria,127.0,25.2,27.0,16.0,,2119,No,379.0,28
44,Las Rozas de Madrid,Madrid,Madrid,95725.0,16.4,12.6,20.0,23,,638.0,365.0,218.0,Adolfo Suárez Madrid-Barajas,174.0,30.4,33.0,0.0,,2655,No,,2691
45,Leganés,Madrid,Madrid,186660.0,16.1,10.6,20.0,27,,630.0,363.0,179.0,Adolfo Suárez Madrid-Barajas,174.0,28.0,33.0,0.0,,2004,No,390.0,2691
46,León,León,Castilla y León,120951.0,18.2,6.8,340.0,205,132.0,777.0,448.0,,Valladolid,6.0,129.0,27.0,0.0,,1318,Sí,443.0,2808
47,Lleida,Lleida,Cataluña,140797.0,26.3,7.8,468.0,270,131.0,160.0,112.0,65.0,Reus,14.0,88.0,33.0,1.0,,1122,No,489.0,2808
48,Logroño,La Rioja,La Rioja,150020.0,9.7,7.6,334.0,231,232.0,473.0,273.0,455.0,Vitoria,3.0,98.0,30.0,2.0,,1608,No,433.0,2708
49,Lorca,Murcia,Murcia,97151.0,30.0,5.4,467.0,263,485.0,645.0,382.0,685.0,Región de Murcia,15.0,68.0,32.0,2.0,,123,No,376.0,3348
50,Lugo,Lugo,Galicia,97211.0,14.4,6.3,500.0,292,293.0,991.0,592.0,,A Coruña,9.0,102.0,27.0,2.0,,123,Sí,411.0,2808
51,Madrid,Madrid,Madrid,3280782.0,8.3,16.2,0.0,0,,623.0,367.0,150.0,Adolfo Suárez Madrid-Barajas,174.0,15.6,33.0,0.0,9900000.0,3935,Sí,377.0,2691
52,Málaga,Málaga,Andalucía,579076.0,7.8,11.9,535.0,313,164.0,1002.0,604.0,692.0,Málaga-Costa del Sol,137.0,9.8,31.0,7.0,1500000.0,239,No,390.0,3248
53,Manresa,Barcelona,Cataluña,77452.0,,7.5,576.0,333,251.0,58.0,,83.0,Josep TarradellasBarcelona-El Prat,170.0,64.6,31.0,1.0,,1514,No,494.0,2453
54,Marbella,Málaga,Andalucía,150725.0,6.7,15.1,584.0,341,239.0,1051.0,622.0,,Málaga-Costa del Sol,137.0,52.2,29.0,9.0,742172.0,3645,No,432.0,3248
55,Mataró,Barcelona,Cataluña,128956.0,11.6,10.6,651.0,390,205.0,31.0,,,Josep TarradellasBarcelona-El Prat,170.0,46.9,29.0,4.0,,1937,No,410.0,2453
56,Melilla,Melilla,Melilla,85170.0,,9.7,665.0,691,,1084.0,,,Málaga-Costa del Sol,137.0,284.0,30.0,10.0,,1856,No,382.0,2808
57,Mijas,Málaga,Andalucía,89502.0,6.7,11.2,558.0,317,272.0,1025.0,606.0,,Málaga-Costa del Sol,137.0,26.3,27.0,7.0,,2282,No,,3248
58,Móstoles,Madrid,Madrid,208761.0,,9.9,22.0,28,,639.0,370.0,197.0,Adolfo Suárez Madrid-Barajas,174.0,35.1,33.0,0.0,,1495,No,403.0,2691
59,Murcia,Murcia,Murcia,462979.0,19.6,7.6,405.0,224,218.0,583.0,341.0,585.0,Región de Murcia,15.0,27.1,33.0,4.0,,1166,Sí,381.0,3348
60,Orihuela,Alicante,Comunidad Valenciana,80784.0,,7.9,428.0,244,257.0,561.0,335.0,605.0,Alacant-Elx Miguel Hernández,119.0,50.0,32.0,5.0,,1615,No,457.0,3397
61,Ourense,Ourense,Galicia,103756.0,,6.5,499.0,282,165.0,1053.0,618.0,706.0,Vigo,8.0,89.0,29.0,5.0,,1458,No,420.0,28
62,Oviedo,Asturias,Asturias,215167.0,,8.3,448.0,257,325.0,886.0,520.0,,Asturias,24.0,46.7,23.0,5.0,,1636,Sí,383.0,1962
63,Palencia,Palencia,Castilla y León,76302.0,21.6,6.5,260.0,159,87.0,688.0,400.0,281.0,Valladolid,6.0,58.4,29.0,0.0,,1278,No,412.0,2808
64,Palma,Illes Balears,Illes Balears,415940.0,27.6,13.7,704.0,750,,276.0,507.0,476.0,Palma de Mallorca,125.0,9.3,31.0,5.0,2400000.0,3531,No,360.0,3098
65,Pamplona,Navarra,Navarra,203418.0,33.0,10.1,396.0,250,223.0,480.0,280.0,260.0,Vitoria,3.0,102.0,28.0,0.0,,2539,No,425.0,2285
66,Parla,Madrid,Madrid,130577.0,7.7,9.1,26.0,32,,638.0,367.0,,Adolfo Suárez Madrid-Barajas,174.0,35.9,33.0,0.0,,1536,No,,2691
67,Pontevedra,Pontevedra,Galicia,82828.0,6.5,7.4,614.0,353,274.0,1167.0,690.0,,Vigo,8.0,30.4,26.0,7.0,,186,No,450.0,3031
68,Pozuelo de Alarcón,Madrid,Madrid,87728.0,19.4,12.9,15.0,21,,633.0,361.0,197.0,Adolfo Suárez Madrid-Barajas,174.0,25.6,33.0,0.0,,342,No,,2691
69,Reus,Tarragona,Cataluña,106741.0,18.7,7.9,545.0,321,234.0,108.0,80.0,98.0,Reus,14.0,4.3,29.0,3.0,,1676,No,439.0,282
70,Rivas-Vaciamadrid,Madrid,Madrid,96690.0,,9.8,19.0,26,,615.0,349.0,217.0,Adolfo Suárez Madrid-Barajas,174.0,19.8,34.0,1.0,,2361,No,403.0,2691
71,Roquetas de Mar,Almería,Andalucía,102881.0,,7.0,564.0,326,685.0,816.0,487.0,,Almería,19.0,37.1,30.0,9.0,,1497,No,,3305
